"ADD TO
ESTIMATE";INSTANCE;CORE;RAM;"TEMPORARY
STORAGE";PAY AS YOU GO;"ONE YEAR RESERVED
(% SAVINGS)";"THREE YEAR RESERVED
(% SAVINGS)";vCPU;"ACTIVE vCPU /
UNDERLYING vCPU";GPU;Central US;East US;East US 2;North Central US;South Central US;West Central US;West US;West US 2;North Europe;West Europe;East Asia;Southeast Asia;Japan East;Japan West;Brazil South;Australia Central;Australia Central 2;Australia East;Australia Southeast;Central India;South India;West India;Canada Central;Canada East;Germany Central;Germany Northeast;UK South;UK West;France Central;France South;Korea Central;Korea South;US DoD Central;US DoD East;US Gov Arizona;US Gov Iowa;US Gov Texas;US Gov Virginia
;F4;4;8.00 GiB;64 GiB;$0.219/hour;$0.15/hour (~32%);$0.095/hour (~57%);;;;;$0.199/hour;$0.199/hour;$0.199/hour;$0.219/hour;$0.219/hour;$0.249/hour;$0.199/hour;$0.226/hour;$0.227/hour;$0.289/hour;$0.231/hour;$0.252/hour;$0.252/hour;$0.287/hour;$0.325/hour;$0.325/hour;$0.26/hour;$0.26/hour;$0.198/hour;$0.242/hour;$0.219/hour;$0.207/hour;$0.218/hour;$0.245/hour;$0.245/hour;$0.237/hour;$0.237/hour;$0.202/hour;$0.262/hour;$0.204/hour;$0.204/hour;N/A;N/A;$0.239/hour;$0.239/hour;$0.239/hour;$0.239/hour
;F8;8;16.00 GiB;128 GiB;$0.438/hour;$0.298/hour (~32%);$0.189/hour (~57%);;;;;$0.398/hour;$0.398/hour;$0.398/hour;$0.438/hour;$0.438/hour;$0.498/hour;$0.398/hour;$0.452/hour;$0.454/hour;$0.578/hour;$0.462/hour;$0.504/hour;$0.504/hour;$0.574/hour;$0.65/hour;$0.65/hour;$0.521/hour;$0.521/hour;$0.395/hour;$0.483/hour;$0.439/hour;$0.415/hour;$0.437/hour;$0.49/hour;$0.49/hour;$0.475/hour;$0.475/hour;$0.404/hour;$0.525/hour;$0.408/hour;$0.408/hour;N/A;N/A;$0.479/hour;$0.479/hour;$0.479/hour;$0.479/hour
;F16;16;32.00 GiB;256 GiB;$0.875/hour;$0.596/hour (~32%);$0.378/hour (~57%);;;;;$0.796/hour;$0.796/hour;$0.796/hour;$0.875/hour;$0.875/hour;$0.996/hour;$0.796/hour;$0.905/hour;$0.909/hour;$1.155/hour;$0.924/hour;$1.008/hour;$1.008/hour;$1.148/hour;$1.30/hour;$1.30/hour;$1.042/hour;$1.042/hour;$0.79/hour;$0.966/hour;$0.878/hour;$0.83/hour;$0.874/hour;$0.98/hour;$0.98/hour;$0.95/hour;$0.95/hour;$0.808/hour;$1.05/hour;$0.816/hour;$0.816/hour;N/A;N/A;$0.957/hour;$0.957/hour;$0.957/hour;$0.957/hour
;Fs1;1;2.00 GiB;4 GiB;$0.055/hour;$0.038/hour (~33%);$0.024/hour (~58%);;;;;$0.05/hour;$0.05/hour;$0.05/hour;$0.055/hour;$0.055/hour;$0.062/hour;$0.05/hour;$0.057/hour;$0.057/hour;$0.072/hour;$0.058/hour;$0.063/hour;$0.063/hour;$0.072/hour;$0.081/hour;$0.081/hour;$0.065/hour;$0.065/hour;$0.049/hour;$0.06/hour;$0.055/hour;$0.052/hour;$0.055/hour;$0.061/hour;$0.061/hour;$0.059/hour;$0.059/hour;$0.05/hour;$0.066/hour;$0.051/hour;$0.051/hour;N/A;N/A;$0.06/hour;N/A;$0.06/hour;$0.06/hour
;Fs2;2;4.00 GiB;8 GiB;$0.109/hour;$0.075/hour (~32%);$0.047/hour (~57%);;;;;$0.099/hour;$0.099/hour;$0.099/hour;$0.109/hour;$0.109/hour;$0.124/hour;$0.099/hour;$0.113/hour;$0.114/hour;$0.144/hour;$0.115/hour;$0.126/hour;$0.126/hour;$0.144/hour;$0.162/hour;$0.162/hour;$0.13/hour;$0.13/hour;$0.099/hour;$0.121/hour;$0.11/hour;$0.104/hour;$0.109/hour;$0.122/hour;$0.122/hour;$0.119/hour;$0.119/hour;$0.101/hour;$0.131/hour;$0.102/hour;$0.102/hour;N/A;N/A;$0.12/hour;N/A;$0.12/hour;$0.12/hour
;Fs4;4;8.00 GiB;16 GiB;$0.219/hour;$0.15/hour (~32%);$0.095/hour (~57%);;;;;$0.199/hour;$0.199/hour;$0.199/hour;$0.219/hour;$0.219/hour;$0.249/hour;$0.199/hour;$0.226/hour;$0.227/hour;$0.289/hour;$0.231/hour;$0.252/hour;$0.252/hour;$0.287/hour;$0.325/hour;$0.325/hour;$0.26/hour;$0.26/hour;$0.198/hour;$0.242/hour;$0.219/hour;$0.207/hour;$0.218/hour;$0.245/hour;$0.245/hour;$0.237/hour;$0.237/hour;$0.202/hour;$0.262/hour;$0.204/hour;$0.204/hour;N/A;N/A;$0.239/hour;N/A;$0.239/hour;$0.239/hour
;Fs8;8;16.00 GiB;32 GiB;$0.438/hour;$0.298/hour (~32%);$0.189/hour (~57%);;;;;$0.398/hour;$0.398/hour;$0.398/hour;$0.438/hour;$0.438/hour;$0.498/hour;$0.398/hour;$0.452/hour;$0.454/hour;$0.578/hour;$0.462/hour;$0.504/hour;$0.504/hour;$0.574/hour;$0.65/hour;$0.65/hour;$0.521/hour;$0.521/hour;$0.395/hour;$0.483/hour;$0.439/hour;$0.415/hour;$0.437/hour;$0.49/hour;$0.49/hour;$0.475/hour;$0.475/hour;$0.404/hour;$0.525/hour;$0.408/hour;$0.408/hour;N/A;N/A;$0.479/hour;N/A;$0.479/hour;$0.479/hour
;Fs16;16;32.00 GiB;64 GiB;$0.875/hour;$0.596/hour (~32%);$0.378/hour (~57%);;;;;$0.796/hour;$0.796/hour;$0.796/hour;$0.875/hour;$0.875/hour;$0.996/hour;$0.796/hour;$0.905/hour;$0.909/hour;$1.155/hour;$0.924/hour;$1.008/hour;$1.008/hour;$1.148/hour;$1.30/hour;$1.30/hour;$1.042/hour;$1.042/hour;$0.79/hour;$0.966/hour;$0.878/hour;$0.83/hour;$0.874/hour;$0.98/hour;$0.98/hour;$0.95/hour;$0.95/hour;$0.808/hour;$1.05/hour;$0.816/hour;$0.816/hour;N/A;N/A;$0.957/hour;N/A;$0.957/hour;$0.957/hour
;E2 v3;2;16.00 GiB;50 GiB;$0.146/hour;$0.094/hour (~36%);$0.06/hour (~59%);;;;;$0.133/hour;$0.133/hour;$0.133/hour;$0.146/hour;N/A;$0.148/hour;$0.133/hour;$0.148/hour;$0.16/hour;$0.20/hour;$0.16/hour;$0.16/hour;$0.16/hour;$0.235/hour;$0.20/hour;$0.20/hour;$0.16/hour;$0.16/hour;$0.137/hour;$0.167/hour;$0.152/hour;$0.146/hour;$0.146/hour;$0.173/hour;$0.173/hour;$0.156/hour;$0.156/hour;$0.156/hour;$0.203/hour;$0.16/hour;$0.144/hour;N/A;N/A;$0.16/hour;N/A;$0.16/hour;N/A
;E4 v3;4;32.00 GiB;100 GiB;$0.293/hour;$0.188/hour (~36%);$0.12/hour (~59%);;;;;$0.266/hour;$0.266/hour;$0.266/hour;$0.293/hour;N/A;$0.296/hour;$0.266/hour;$0.296/hour;$0.32/hour;$0.40/hour;$0.32/hour;$0.32/hour;$0.32/hour;$0.47/hour;$0.399/hour;$0.399/hour;$0.319/hour;$0.319/hour;$0.274/hour;$0.334/hour;$0.304/hour;$0.292/hour;$0.292/hour;$0.346/hour;$0.346/hour;$0.312/hour;$0.312/hour;$0.312/hour;$0.406/hour;$0.32/hour;$0.288/hour;N/A;N/A;$0.319/hour;N/A;$0.319/hour;N/A
;E8 v3;8;64.00 GiB;200 GiB;$0.585/hour;$0.376/hour (~36%);$0.241/hour (~59%);;;;;$0.532/hour;$0.532/hour;$0.532/hour;$0.585/hour;N/A;$0.593/hour;$0.532/hour;$0.593/hour;$0.64/hour;$0.80/hour;$0.64/hour;$0.64/hour;$0.64/hour;$0.94/hour;$0.798/hour;$0.798/hour;$0.638/hour;$0.638/hour;$0.548/hour;$0.669/hour;$0.608/hour;$0.584/hour;$0.584/hour;$0.691/hour;$0.691/hour;$0.624/hour;$0.624/hour;$0.624/hour;$0.812/hour;$0.64/hour;$0.576/hour;N/A;N/A;$0.638/hour;N/A;$0.638/hour;N/A
;E16 v3;16;128.00 GiB;400 GiB;$1.17/hour;$0.751/hour (~36%);$0.481/hour (~59%);;;;;$1.064/hour;$1.064/hour;$1.064/hour;$1.17/hour;N/A;$1.186/hour;$1.064/hour;$1.186/hour;$1.28/hour;$1.60/hour;$1.28/hour;$1.28/hour;$1.28/hour;$1.879/hour;$1.597/hour;$1.597/hour;$1.277/hour;$1.277/hour;$1.096/hour;$1.338/hour;$1.216/hour;$1.168/hour;$1.168/hour;$1.382/hour;$1.382/hour;$1.248/hour;$1.248/hour;$1.248/hour;$1.623/hour;$1.28/hour;$1.152/hour;N/A;N/A;$1.277/hour;N/A;$1.277/hour;N/A
;E20 v3;20;160.00 GiB;500 GiB;$1.46/hour;Not available;Not available;;;;;$1.33/hour;$1.46/hour;$1.33/hour;$1.46/hour;N/A;$1.48/hour;$1.33/hour;$1.48/hour;$1.60/hour;$2/hour;$1.60/hour;$1.60/hour;$1.60/hour;$2.80/hour;$2/hour;$2/hour;$1.60/hour;$1.60/hour;$1.37/hour;$1.67/hour;$1.52/hour;$1.46/hour;$1.46/hour;N/A;N/A;$1.56/hour;$1.56/hour;$1.56/hour;$2.028/hour;$1.60/hour;$1.44/hour;N/A;N/A;$1.596/hour;N/A;$1.596/hour;N/A
;E32 v3;32;256.00 GiB;800 GiB;$2.341/hour;$1.502/hour (~36%);$0.961/hour (~59%);;;;;$2.128/hour;$2.128/hour;$2.128/hour;$2.341/hour;N/A;$2.371/hour;$2.128/hour;$2.371/hour;$2.56/hour;$3.20/hour;$2.56/hour;$2.56/hour;$2.56/hour;$3.758/hour;$3.193/hour;$3.193/hour;$2.554/hour;$2.554/hour;$2.192/hour;$2.675/hour;$2.432/hour;$2.336/hour;$2.336/hour;$2.765/hour;$2.765/hour;$2.496/hour;$2.496/hour;$2.496/hour;$3.245/hour;$2.56/hour;$2.304/hour;N/A;N/A;$2.554/hour;N/A;$2.554/hour;N/A
;E64i v3 1;64;432.00 GiB;1,600 GiB;$4.412/hour;$3.087/hour (~30%);Not available;;;;;$4.011/hour;$4.011/hour;$4.011/hour;$4.412/hour;N/A;$4.469/hour;$4.011/hour;$4.469/hour;$4.826/hour;$6.032/hour;$4.826/hour;$4.826/hour;$4.826/hour;$7.084/hour;N/A;N/A;$4.814/hour;$4.814/hour;N/A;$5.043/hour;$4.584/hour;$4.403/hour;$4.403/hour;$5.214/hour;$5.214/hour;$4.705/hour;$4.705/hour;$4.705/hour;$6.117/hour;$4.826/hour;$4.343/hour;N/A;N/A;N/A;N/A;N/A;N/A
;E64 v3;64;432.00 GiB;1,600 GiB;$4.412/hour;$2.831/hour (~36%);$1.81/hour (~59%);;;;;$4.011/hour;$4.011/hour;$4.011/hour;$4.412/hour;N/A;$4.469/hour;$4.011/hour;$4.469/hour;$4.826/hour;$6.032/hour;$4.826/hour;$4.826/hour;$4.826/hour;$7.084/hour;$6.018/hour;$6.018/hour;$4.814/hour;$4.814/hour;$4.132/hour;$5.043/hour;$4.584/hour;$4.403/hour;$4.403/hour;$5.214/hour;$5.214/hour;$4.705/hour;$4.705/hour;$4.705/hour;$6.117/hour;$4.826/hour;$4.343/hour;N/A;N/A;$4.814/hour;N/A;$4.814/hour;N/A
;E2s v3;2;16.00 GiB;32 GiB;$0.146/hour;$0.094/hour (~36%);$0.06/hour (~59%);;;;;$0.133/hour;$0.133/hour;$0.133/hour;$0.146/hour;N/A;$0.148/hour;$0.133/hour;$0.148/hour;$0.16/hour;$0.20/hour;$0.16/hour;$0.16/hour;$0.16/hour;$0.235/hour;$0.20/hour;$0.20/hour;$0.16/hour;$0.16/hour;$0.137/hour;$0.167/hour;N/A;$0.146/hour;$0.146/hour;$0.173/hour;$0.173/hour;$0.156/hour;$0.156/hour;N/A;N/A;$0.16/hour;$0.144/hour;N/A;N/A;$0.16/hour;N/A;$0.16/hour;N/A
;E4s v3;4;32.00 GiB;64 GiB;$0.293/hour;$0.188/hour (~36%);$0.12/hour (~59%);;;;;$0.266/hour;$0.266/hour;$0.266/hour;$0.293/hour;N/A;$0.296/hour;$0.266/hour;$0.296/hour;$0.32/hour;$0.40/hour;$0.32/hour;$0.32/hour;$0.32/hour;$0.47/hour;$0.399/hour;$0.399/hour;$0.319/hour;$0.319/hour;$0.274/hour;$0.334/hour;N/A;$0.292/hour;$0.292/hour;$0.346/hour;$0.346/hour;$0.312/hour;$0.312/hour;N/A;N/A;$0.32/hour;$0.288/hour;N/A;N/A;$0.319/hour;N/A;$0.319/hour;N/A
;E8s v3;8;64.00 GiB;128 GiB;$0.585/hour;$0.376/hour (~36%);$0.241/hour (~59%);;;;;$0.532/hour;$0.532/hour;$0.532/hour;$0.585/hour;N/A;$0.593/hour;$0.532/hour;$0.593/hour;$0.64/hour;$0.80/hour;$0.64/hour;$0.64/hour;$0.64/hour;$0.94/hour;$0.798/hour;$0.798/hour;$0.638/hour;$0.638/hour;$0.548/hour;$0.669/hour;N/A;$0.584/hour;$0.584/hour;$0.691/hour;$0.691/hour;$0.624/hour;$0.624/hour;N/A;N/A;$0.64/hour;$0.576/hour;N/A;N/A;$0.638/hour;N/A;$0.638/hour;N/A
;E16s v3;16;128.00 GiB;256 GiB;$1.17/hour;$0.751/hour (~36%);$0.481/hour (~59%);;;;;$1.064/hour;$1.064/hour;$1.064/hour;$1.17/hour;N/A;$1.186/hour;$1.064/hour;$1.186/hour;$1.28/hour;$1.60/hour;$1.28/hour;$1.28/hour;$1.28/hour;$1.879/hour;$1.597/hour;$1.597/hour;$1.277/hour;$1.277/hour;$1.096/hour;$1.338/hour;N/A;$1.168/hour;$1.168/hour;$1.382/hour;$1.382/hour;$1.248/hour;$1.248/hour;N/A;N/A;$1.28/hour;$1.152/hour;N/A;N/A;$1.277/hour;N/A;$1.277/hour;N/A
;E20s v3;20;160.00 GiB;320 GiB;$1.46/hour;Not available;Not available;;;;;$1.33/hour;$1.46/hour;$1.33/hour;$1.46/hour;N/A;$1.48/hour;$1.33/hour;$1.48/hour;$1.60/hour;$2/hour;$1.60/hour;$1.60/hour;$1.60/hour;$2.80/hour;$2/hour;$2/hour;$1.60/hour;$1.60/hour;$1.37/hour;$1.67/hour;$1.52/hour;$1.46/hour;$1.46/hour;N/A;N/A;$1.56/hour;$1.56/hour;$1.56/hour;$2.028/hour;$1.60/hour;$1.44/hour;N/A;N/A;$1.596/hour;N/A;$1.596/hour;N/A
;E32s v3;32;256.00 GiB;512 GiB;$2.341/hour;$1.502/hour (~36%);$0.961/hour (~59%);;;;;$2.128/hour;$2.128/hour;$2.128/hour;$2.341/hour;N/A;$2.371/hour;$2.128/hour;$2.371/hour;$2.56/hour;$3.20/hour;$2.56/hour;$2.56/hour;$2.56/hour;$3.758/hour;$3.193/hour;$3.193/hour;$2.554/hour;$2.554/hour;$2.192/hour;$2.675/hour;N/A;$2.336/hour;$2.336/hour;$2.765/hour;$2.765/hour;$2.496/hour;$2.496/hour;N/A;N/A;$2.56/hour;$2.304/hour;N/A;N/A;$2.554/hour;N/A;$2.554/hour;N/A
;E64is v3 1;64;432.00 GiB;864 GiB;$4.412/hour;$3.087/hour (~30%);Not available;;;;;$4.011/hour;$4.011/hour;$4.011/hour;$4.412/hour;N/A;$4.469/hour;$4.011/hour;$4.469/hour;$4.826/hour;$6.032/hour;$4.826/hour;$4.826/hour;$4.826/hour;$7.084/hour;N/A;N/A;$4.814/hour;$4.814/hour;N/A;$5.043/hour;$4.584/hour;$4.403/hour;$4.403/hour;$5.214/hour;$5.214/hour;$4.705/hour;$4.705/hour;$4.705/hour;$6.117/hour;$4.826/hour;$4.343/hour;N/A;N/A;N/A;N/A;N/A;N/A
;E64s v3;64;432.00 GiB;864 GiB;$4.412/hour;$2.831/hour (~36%);$1.81/hour (~59%);;;;;$4.011/hour;$4.011/hour;$4.011/hour;$4.412/hour;N/A;$4.469/hour;$4.011/hour;$4.469/hour;$4.826/hour;$6.032/hour;$4.826/hour;$4.826/hour;$4.826/hour;$7.084/hour;$6.018/hour;$6.018/hour;$4.814/hour;$4.814/hour;$4.132/hour;$5.043/hour;N/A;$4.403/hour;$4.403/hour;$5.214/hour;$5.214/hour;$4.705/hour;$4.705/hour;N/A;N/A;$4.826/hour;$4.343/hour;N/A;N/A;$4.814/hour;N/A;$4.814/hour;N/A
;D11 v2;2;14.00 GiB;100 GiB;$0.185/hour;$0.106/hour (~43%);$0.07/hour (~62%);;;;;$0.185/hour;$0.149/hour;$0.185/hour;$0.166/hour;$0.166/hour;$0.185/hour;$0.149/hour;$0.185/hour;$0.19/hour;$0.229/hour;$0.191/hour;$0.229/hour;$0.20/hour;$0.235/hour;$0.249/hour;$0.249/hour;$0.20/hour;$0.20/hour;$0.189/hour;$0.189/hour;$0.189/hour;$0.199/hour;$0.183/hour;$0.222/hour;$0.222/hour;$0.234/hour;$0.234/hour;$0.234/hour;$0.304/hour;$0.20/hour;$0.179/hour;N/A;N/A;$0.186/hour;$0.186/hour;$0.186/hour;$0.186/hour
;D12 v2;4;28.00 GiB;200 GiB;$0.371/hour;$0.212/hour (~43%);$0.14/hour (~62%);;;;;$0.371/hour;$0.299/hour;$0.37/hour;$0.332/hour;$0.332/hour;$0.37/hour;$0.299/hour;$0.371/hour;$0.379/hour;$0.459/hour;$0.382/hour;$0.459/hour;$0.399/hour;$0.47/hour;$0.499/hour;$0.499/hour;$0.399/hour;$0.399/hour;$0.379/hour;$0.379/hour;$0.379/hour;$0.399/hour;$0.366/hour;$0.445/hour;$0.445/hour;$0.469/hour;$0.469/hour;$0.469/hour;$0.608/hour;$0.399/hour;$0.359/hour;N/A;N/A;$0.373/hour;$0.373/hour;$0.373/hour;$0.373/hour
;D13 v2;8;56.00 GiB;400 GiB;$0.741/hour;$0.424/hour (~43%);$0.28/hour (~62%);;;;;$0.741/hour;$0.598/hour;$0.741/hour;$0.665/hour;$0.665/hour;$0.741/hour;$0.598/hour;$0.741/hour;$0.759/hour;$0.918/hour;$0.765/hour;$0.918/hour;$0.798/hour;$0.94/hour;$0.997/hour;$0.997/hour;$0.798/hour;$0.798/hour;$0.758/hour;$0.758/hour;$0.758/hour;$0.798/hour;$0.732/hour;$0.889/hour;$0.889/hour;$0.937/hour;$0.937/hour;$0.937/hour;$1.217/hour;$0.798/hour;$0.718/hour;N/A;N/A;$0.746/hour;$0.746/hour;$0.746/hour;$0.746/hour
;D14 v2;16;112.00 GiB;800 GiB;$1.482/hour;$0.847/hour (~43%);$0.56/hour (~62%);;;;;$1.482/hour;$1.196/hour;$1.482/hour;$1.33/hour;$1.33/hour;$1.482/hour;$1.196/hour;$1.482/hour;$1.518/hour;$1.835/hour;$1.53/hour;$1.835/hour;$1.596/hour;$1.879/hour;$1.995/hour;$1.995/hour;$1.596/hour;$1.596/hour;$1.516/hour;$1.516/hour;$1.516/hour;$1.596/hour;$1.463/hour;$1.778/hour;$1.778/hour;$1.874/hour;$1.874/hour;$1.874/hour;$2.434/hour;$1.596/hour;$1.435/hour;N/A;N/A;$1.491/hour;$1.491/hour;$1.491/hour;$1.491/hour
;D15 v2;20;140.00 GiB;1,000 GiB;$1.853/hour;$1.059/hour (~43%);$0.70/hour (~62%);;;;;$1.853/hour;$1.495/hour;$1.852/hour;$1.662/hour;$1.662/hour;$1.852/hour;$1.495/hour;$1.853/hour;$1.897/hour;$2.294/hour;$1.912/hour;$2.294/hour;$1.995/hour;$2.349/hour;$2.493/hour;$2.493/hour;$1.995/hour;$1.995/hour;$1.895/hour;$1.895/hour;$1.895/hour;$1.995/hour;$1.829/hour;$2.223/hour;$2.223/hour;$2.343/hour;$2.343/hour;$2.343/hour;$3.042/hour;$1.995/hour;$1.794/hour;N/A;N/A;$1.864/hour;$1.864/hour;$1.864/hour;$1.864/hour
;DS11 v2;2;14.00 GiB;28 GiB;$0.185/hour;$0.106/hour (~43%);$0.07/hour (~62%);;;;;$0.185/hour;$0.149/hour;$0.185/hour;$0.166/hour;$0.166/hour;$0.185/hour;$0.149/hour;$0.185/hour;$0.19/hour;$0.229/hour;$0.191/hour;$0.229/hour;$0.20/hour;$0.235/hour;$0.249/hour;$0.249/hour;$0.20/hour;$0.20/hour;$0.189/hour;$0.189/hour;$0.189/hour;$0.199/hour;$0.183/hour;$0.222/hour;$0.222/hour;$0.234/hour;$0.234/hour;$0.234/hour;$0.304/hour;$0.20/hour;$0.179/hour;N/A;N/A;$0.186/hour;N/A;$0.186/hour;$0.186/hour
;DS12 v2;4;28.00 GiB;56 GiB;$0.371/hour;$0.212/hour (~43%);$0.14/hour (~62%);;;;;$0.371/hour;$0.299/hour;$0.37/hour;$0.332/hour;$0.332/hour;$0.37/hour;$0.299/hour;$0.371/hour;$0.379/hour;$0.459/hour;$0.382/hour;$0.459/hour;$0.399/hour;$0.47/hour;$0.499/hour;$0.499/hour;$0.399/hour;$0.399/hour;$0.379/hour;$0.379/hour;$0.379/hour;$0.399/hour;$0.366/hour;$0.445/hour;$0.445/hour;$0.469/hour;$0.469/hour;$0.469/hour;$0.608/hour;$0.399/hour;$0.359/hour;N/A;N/A;$0.373/hour;N/A;$0.373/hour;$0.373/hour
;DS13 v2;8;56.00 GiB;112 GiB;$0.741/hour;$0.424/hour (~43%);$0.28/hour (~62%);;;;;$0.741/hour;$0.598/hour;$0.741/hour;$0.665/hour;$0.665/hour;$0.741/hour;$0.598/hour;$0.741/hour;$0.759/hour;$0.918/hour;$0.765/hour;$0.918/hour;$0.798/hour;$0.94/hour;$0.997/hour;$0.997/hour;$0.798/hour;$0.798/hour;$0.758/hour;$0.758/hour;$0.758/hour;$0.798/hour;$0.732/hour;$0.889/hour;$0.889/hour;$0.937/hour;$0.937/hour;$0.937/hour;$1.217/hour;$0.798/hour;$0.718/hour;N/A;N/A;$0.746/hour;N/A;$0.746/hour;$0.746/hour
;DS14 v2;16;112.00 GiB;224 GiB;$1.482/hour;$0.847/hour (~43%);$0.56/hour (~62%);;;;;$1.482/hour;$1.196/hour;$1.482/hour;$1.33/hour;$1.33/hour;$1.482/hour;$1.196/hour;$1.482/hour;$1.518/hour;$1.835/hour;$1.53/hour;$1.835/hour;$1.596/hour;$1.879/hour;$1.995/hour;$1.995/hour;$1.596/hour;$1.596/hour;$1.516/hour;$1.516/hour;$1.516/hour;$1.596/hour;$1.463/hour;$1.778/hour;$1.778/hour;$1.874/hour;$1.874/hour;$1.874/hour;$2.434/hour;$1.596/hour;$1.435/hour;N/A;N/A;$1.491/hour;N/A;$1.491/hour;$1.491/hour
;DS15 v2;20;140.00 GiB;280 GiB;$1.853/hour;$1.059/hour (~43%);$0.70/hour (~62%);;;;;$1.853/hour;$1.495/hour;$1.852/hour;$1.662/hour;$1.662/hour;$1.852/hour;$1.495/hour;$1.853/hour;$1.897/hour;$2.294/hour;$1.912/hour;$2.294/hour;$1.995/hour;$2.349/hour;$2.493/hour;$2.493/hour;$1.995/hour;$1.995/hour;$1.895/hour;$1.895/hour;$1.895/hour;$1.995/hour;$1.829/hour;$2.223/hour;$2.223/hour;$2.343/hour;$2.343/hour;$2.343/hour;$3.042/hour;$1.995/hour;$1.794/hour;N/A;N/A;$1.864/hour;N/A;$1.864/hour;$1.864/hour
;G1;2;28.00 GiB;384 GiB;N/A;– –;– –;;;;;N/A;$0.55/hour;N/A;N/A;N/A;$0.61/hour;$0.49/hour;N/A;$0.70/hour;N/A;$0.66/hour;$0.576/hour;N/A;N/A;N/A;N/A;$0.638/hour;N/A;N/A;N/A;N/A;$0.528/hour;$0.484/hour;$0.616/hour;N/A;$0.439/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$0.55/hour
;G2;4;56.00 GiB;768 GiB;N/A;– –;– –;;;;;N/A;$1.10/hour;N/A;N/A;N/A;$1.22/hour;$0.981/hour;N/A;$1.40/hour;N/A;$1.32/hour;$1.151/hour;N/A;N/A;N/A;N/A;$1.276/hour;N/A;N/A;N/A;N/A;$1.056/hour;$0.968/hour;$1.232/hour;N/A;$0.878/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$1.10/hour
;G3;8;112.00 GiB;1,536 GiB;N/A;– –;– –;;;;;N/A;$2.20/hour;N/A;N/A;N/A;$2.44/hour;$1.961/hour;N/A;$2.80/hour;N/A;$2.64/hour;$2.302/hour;N/A;N/A;N/A;N/A;$2.552/hour;N/A;N/A;N/A;N/A;$2.112/hour;$1.936/hour;$2.464/hour;N/A;$1.757/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$2.20/hour
;G4;16;224.00 GiB;3,072 GiB;N/A;– –;– –;;;;;N/A;$4.40/hour;N/A;N/A;N/A;$4.88/hour;$3.922/hour;N/A;$5.60/hour;N/A;$5.28/hour;$4.602/hour;N/A;N/A;N/A;N/A;$5.104/hour;N/A;N/A;N/A;N/A;$4.224/hour;$3.872/hour;$4.928/hour;N/A;$3.514/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$4.40/hour
;G5;32;448.00 GiB;6,144 GiB;N/A;– –;– –;;;;;N/A;$7.82/hour;N/A;N/A;N/A;$8.69/hour;$7.843/hour;N/A;$9.99/hour;N/A;$9.39/hour;$9.205/hour;N/A;N/A;N/A;N/A;$10.21/hour;N/A;N/A;N/A;N/A;$8.448/hour;$7.744/hour;$9.856/hour;N/A;$7.027/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$8.80/hour
;Gs1;2;28.00 GiB;56 GiB;N/A;– –;– –;;;;;N/A;$0.55/hour;N/A;N/A;N/A;$0.61/hour;$0.49/hour;N/A;$0.70/hour;N/A;$0.66/hour;$0.576/hour;N/A;N/A;N/A;N/A;$0.638/hour;N/A;N/A;N/A;N/A;$0.528/hour;$0.484/hour;$0.616/hour;N/A;$0.439/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$0.55/hour
;Gs2;4;56.00 GiB;112 GiB;N/A;– –;– –;;;;;N/A;$1.10/hour;N/A;N/A;N/A;$1.22/hour;$0.981/hour;N/A;$1.40/hour;N/A;$1.32/hour;$1.151/hour;N/A;N/A;N/A;N/A;$1.276/hour;N/A;N/A;N/A;N/A;$1.056/hour;$0.968/hour;$1.232/hour;N/A;$0.878/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$1.10/hour
;Gs3;8;112.00 GiB;224 GiB;N/A;– –;– –;;;;;N/A;$2.20/hour;N/A;N/A;N/A;$2.44/hour;$1.961/hour;N/A;$2.80/hour;N/A;$2.64/hour;$2.302/hour;N/A;N/A;N/A;N/A;$2.552/hour;N/A;N/A;N/A;N/A;$2.112/hour;$1.936/hour;$2.464/hour;N/A;$1.757/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$2.20/hour
;Gs4;16;224.00 GiB;448 GiB;N/A;– –;– –;;;;;N/A;$4.40/hour;N/A;N/A;N/A;$4.88/hour;$3.922/hour;N/A;$5.60/hour;N/A;$5.28/hour;$4.602/hour;N/A;N/A;N/A;N/A;$5.104/hour;N/A;N/A;N/A;N/A;$4.224/hour;$3.872/hour;$4.928/hour;N/A;$3.514/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$4.40/hour
